t0,t1,t2,t3,t4,s_r,s_f,N,d_r,d_f,total_integral,tail_integral,fom
35.6897,22.822282228222825,32.92329232923292,46.64466446644665,200.0,5.9017,99.7632,760.751,10.101010101010097,153.35533553355336,53382.86584354622,66738.11097692061,0.7998857783374644
36.0559,23.222322232223224,33.223322332233224,48.304830483048306,200.0,5.8013,99.8144,486.7107,10.00100010001,151.6951695169517,33570.073373067244,42623.89181444511,0.7875881798688886
30.5988,18.161816181618164,27.902790279027904,42.304230423042306,200.0,5.6483,99.5297,444.0388,9.74097409740974,157.6957695769577,31233.945185939527,39194.01330231111,0.7969060209534038
35.7139,22.302230223022303,32.26322632263226,52.665266526652665,200.0,5.8147,101.9168,121.9076,9.960996099609961,147.33473347334734,8042.023214111922,10815.502028788933,0.7435644866697352
34.2849,21.202120212021203,31.443144314431446,46.84468446844685,200.0,5.9031,101.6722,335.9065,10.241024102410243,153.15531553155316,23491.46573076647,29879.093952714527,0.786217472589468
36.4142,22.622262226222624,33.34333433343335,48.46484648464847,200.0,6.2125,98.0616,443.0074,10.721072107210723,151.53515351535154,30225.86486236281,38607.63234704157,0.7828986919131539
38.2864,24.162416241624165,35.18351835183518,50.125012501250126,200.0,6.417,100.1446,458.6867,11.021102110211018,149.87498749874987,31675.60583833536,40383.81987141147,0.7843637857734991
36.2529,21.882188218821884,33.043304330433045,52.70527052705271,200.0,6.159,101.4189,121.7267,11.161116111611161,147.2947294729473,8040.2385361188735,10810.110044236397,0.7437702764557582
30.7904,16.601660166016604,27.782778277827784,43.00430043004301,200.0,6.3503,98.6796,372.4402,11.18111811181118,156.995699569957,25857.74863390953,33025.192184097024,0.7829704211792926
30.2727,16.721672167216724,27.082708270827084,43.76437643764377,200.0,6.1557,99.5475,298.6104,10.36103610361036,156.23562356235624,20554.8300941793,26562.453971287534,0.7738302385915802
33.0454,18.801880188018803,29.942994299429945,45.28452845284529,200.0,6.42,100.0825,377.5668,11.141114111411142,154.71547154715472,26311.644533083672,33618.81092640714,0.7826464948650583
36.5351,23.742374237423743,33.58335833583359,56.20562056205621,200.0,5.5494,98.6783,94.1405,9.840984098409844,143.7943794379438,5838.288078078594,8158.099425536537,0.7156431631371819
39.7851,27.282728272827285,37.023702370237025,52.58525852585259,200.0,5.6075,99.5724,361.6088,9.74097409740974,147.4147414741474,24458.57152513241,31277.928244919658,0.7819754343577764
30.8846,17.001700170017003,27.642764276427645,43.204320432043204,200.0,6.3775,98.1626,354.478,10.641064106410642,156.7956795679568,24478.944684465103,31332.87479993993,0.7812543483725289
33.9415,21.002100210021002,31.083108310831086,47.56475647564757,200.0,5.8617,99.3564,251.7266,10.081008100810084,152.43524352435242,17104.164160606324,22107.648328476167,0.7736763271457954
39.0934,24.942494249424943,35.963596359635964,51.86518651865187,200.0,6.255,99.3461,213.6165,11.021102110211022,148.13481348134815,14460.552410291202,18655.717818141344,0.7751270978289216
33.4147,19.44194419441944,30.363036303630363,45.224522452245225,200.0,6.3887,99.7359,489.679,10.921092109210921,154.77547754775478,34193.526729637386,43455.50271410726,0.7868629884366038
38.5334,24.782478247824784,35.52355235523552,50.32503250325033,200.0,6.1909,98.1232,493.9848,10.74107410741074,149.67496749674967,33632.42484521316,42852.86424386487,0.7848349331755163
33.8334,21.002100210021002,31.023102310231025,45.24452445244525,200.0,5.8712,99.9912,763.1634,10.021002100210023,154.75547554755474,53596.44823046966,67280.12654578804,0.7966163409932673
36.1829,21.802180218021803,32.96329632963297,49.96499649964997,200.0,6.2653,101.0852,209.9093,11.161116111611165,150.03500350035003,14317.58045742,18634.51412697903,0.768336666030429
34.3053,21.002100210021002,31.423142314231423,47.08470847084709,200.0,5.8241,98.3514,266.431,10.421042104210422,152.9152915291529,18150.244423433665,23244.451497140606,0.7808420183916321
34.0622,21.362136213621362,31.043104310431044,48.924892489248926,200.0,5.5416,98.7876,162.2007,9.680968096809682,151.07510751075108,10798.150043716227,14138.153253865914,0.7637595837181633
32.669,19.841984198419844,29.922992299229925,47.30473047304731,200.0,5.6283,101.7761,186.9412,10.081008100810081,152.6952695269527,12802.19039828296,16639.386803243007,0.7693907563821896
30.4014,16.7016701670167,27.362736273627362,41.78417841784179,200.0,6.286,98.9884,716.8676,10.661066106610662,158.2158215821582,50461.30576129394,63651.80183326271,0.792771049804347
32.2987,18.341834183418342,29.222922292229224,44.58445844584459,200.0,6.2994,99.2975,338.2562,10.881088108810882,155.41554155415542,23474.463490431343,29982.610911204112,0.7829359344305549
39.1465,26.742674267426743,36.443644364436445,51.805180518051806,200.0,5.5667,98.3249,352.2348,9.700970097009701,148.1948194819482,23704.175918585835,30281.827560719466,0.7827855128973149
32.0255,16.161616161616163,28.422842284228423,49.22492249224923,200.0,6.4993,98.2359,112.1693,12.26122612261226,150.77507750775078,7256.104295461134,9926.20795991879,0.7310046620784781
37.4963,24.562456245624563,34.64346434643465,48.60486048604861,200.0,5.8613,98.1476,645.3061,10.081008100810084,151.3951395139514,44463.306029525964,55851.794820040916,0.79609448850821
36.601,22.802280228022802,33.623362336233626,48.004800480048004,200.0,6.3399,101.414,774.9303,10.821082108210824,151.995199519952,54540.412646331955,68874.56102870639,0.7918803667380171
37.7067,24.982498249824985,34.84348434843484,49.04490449044905,200.0,5.8162,101.2168,551.3478,9.860986098609857,150.95509550955094,38663.30947983235,48480.943678726355,0.797494985577147
37.5471,24.122412241224122,34.523452345234524,49.644964496449646,200.0,6.1504,100.9626,541.9141,10.401040104010402,150.35503550355037,37587.648480632924,47822.003279467295,0.7859906717201752
36.8885,24.402440244024405,34.103410341034106,48.74487448744875,200.0,5.7123,101.4367,563.6598,9.700970097009701,151.25512551255125,39417.14558559796,49643.39981323149,0.7940057637851806
33.4044,19.34193419341934,30.183018301830185,45.52455245524553,200.0,6.4732,98.8538,409.4199,10.841084108410843,154.47544754475447,28299.22900118892,36191.85814723189,0.7819225220784461
35.3046,21.622162216221625,32.34323432343235,46.664666466646665,200.0,6.2605,101.4307,730.1811,10.721072107210723,153.33533353335332,51613.05962866608,65024.30315869093,0.7937502921439252
33.0147,19.381938193819384,30.063006300630065,44.124412441244125,200.0,6.2792,100.583,752.517,10.681068106810681,155.87558755875588,53386.145905916164,67046.1778637543,0.7962593485105605
32.0016,18.26182618261826,28.702870287028706,46.02460246024603,200.0,6.0277,101.9892,165.1273,10.441044104410445,153.97539753975397,11434.396011476638,14817.065104805682,0.771704513046114
32.1142,19.58195819581958,29.242924292429244,44.82448244824483,200.0,5.6047,99.4298,233.8444,9.660966096609663,155.17551755175518,16164.219705669799,20555.305403888124,0.7863770149876862
32.6409,18.421842184218423,29.502950295029503,47.004700470047005,200.0,6.4243,98.6659,199.9081,11.08110811081108,152.995299529953,13434.98535807089,17673.53195392431,0.7601754642533535
37.261,24.302430243024304,34.06340634063407,54.585458545854586,200.0,5.6094,99.4142,119.7468,9.760976097609763,145.41454145414542,7684.459256583056,10412.587806953834,0.7379970665362502
32.9551,20.502050205020502,30.283028302830285,44.44444444444445,200.0,5.6838,100.2324,683.1645,9.780978097809783,155.55555555555554,48124.78602012225,60268.85424028871,0.7985017572799923
38.1615,24.502450245024505,34.903490349034904,54.205420542054206,200.0,6.0006,99.5008,135.7646,10.401040104010399,145.7945794579458,8841.0113295008,11850.394068613557,0.7460520956781278
30.0087,16.161616161616163,26.902690269026905,41.584158415841586,200.0,6.3097,99.3568,500.9447,10.741074107410743,158.41584158415841,35304.794130917966,44628.21645402788,0.7910868265884187
37.9367,24.482448244824482,34.88348834883489,50.165016501650165,200.0,6.1369,101.3599,439.5346,10.401040104010406,149.83498349834983,30483.25259668415,38831.27087995179,0.7850181543355655
30.4306,16.841684168416844,27.402740274027405,43.28432843284329,200.0,6.2033,101.426,299.3504,10.561056105610561,156.7156715671567,21043.019745457994,26918.024654239933,0.781744575085061
32.5015,19.721972197219724,29.542954295429546,44.164416441644164,200.0,5.8974,99.3863,480.0505,9.820982098209821,155.83558355835584,33582.943781610906,42306.61656450878,0.7937988548529734
39.9209,27.122712271227122,37.123712371237126,51.465146514651465,200.0,5.845,100.973,789.9174,10.001000100010003,148.53485348534855,54802.57346965256,69041.0045391472,0.7937684834608505
36.0702,22.222222222222225,33.00330033003301,47.74477447744775,200.0,6.3479,100.3362,755.8684,10.781078107810782,152.25522552255225,52707.50510868537,66876.26015426328,0.7881347579410858
33.0212,20.522052205220522,30.303030303030305,45.04450445044505,200.0,5.726,98.3295,369.472,9.780978097809783,154.95549554955494,25499.430655006963,32255.347698333277,0.7905489314047788
37.4756,23.742374237423743,34.183418341834184,50.72507250725073,200.0,6.181,101.6769,246.4437,10.441044104410441,149.27492749274927,16929.233388190343,21849.619116249713,0.7748067963161864
32.0113,19.021902190219024,29.162916291629163,44.04440444044405,200.0,5.9727,99.4916,503.6005,10.14101410141014,155.95559555955595,35136.94830844678,44502.734401196045,0.789545828615476
30.8376,17.021702170217022,27.662766276627664,44.504450445044505,200.0,6.2283,101.9107,271.1874,10.641064106410642,155.4955495549555,18913.056557901502,24442.27840302024,0.7737845157497465
31.0585,17.681768176817684,28.042804280428044,43.404340434043405,200.0,6.0709,98.6969,427.5983,10.36103610361036,156.5956595659566,29620.50317072508,37746.53895114536,0.7847210365184035
38.4594,25.722572257225725,35.64356435643565,50.00500050005001,200.0,5.8421,100.0074,685.1713,9.920992099209922,149.99499949994998,47426.52250425368,59767.780002859225,0.7935132022970377
33.673,20.002000200020003,30.543054305430545,46.284628462846285,200.0,6.2056,99.719,381.1625,10.541054105410542,153.71537153715371,26323.880589740293,33722.11412345418,0.7806118113879368
36.1095,23.842384238423843,33.4033403340334,47.384738473847385,200.0,5.6294,99.4759,684.1704,9.560956095609559,152.6152615261526,47662.59053881713,59641.20259084352,0.7991554239071393
35.1148,21.562156215621563,32.10321032103211,47.624762476247625,200.0,6.0862,100.4307,435.3269,10.541054105410545,152.3752375237524,30134.033733959182,38488.86076210173,0.7829287003379125
36.5612,23.362336233623363,33.64336433643364,51.92519251925193,200.0,5.5401,99.4401,138.7684,10.281028102810279,148.07480748074806,9156.482380117293,12078.94311379829,0.7580532745168287
32.2489,18.061806180618063,29.122912291229124,44.80448044804481,200.0,6.4086,101.0821,424.1439,11.06110611061106,155.1955195519552,29709.900074414476,38033.07933415926,0.7811594694550711
37.1449,23.882388238823882,34.143414341434145,49.884988498849886,200.0,5.9151,99.0651,294.9072,10.261026102610263,150.11501150115012,20044.468525231776,25701.789748742915,0.7798860982516659
38.5042,24.822482248224823,35.483548354835484,49.62496249624963,200.0,6.264,100.4545,697.0125,10.661066106610662,150.37503750375038,48651.72920191809,61303.05865724441,0.793626456290509
32.1569,18.081808180818083,29.062906290629066,44.224422442244226,200.0,6.4779,98.3775,519.9651,10.981098109810983,155.77557755775578,35959.91681644743,45960.75719021971,0.7824047951955756
38.5747,24.742474247424745,34.88348834883489,56.72567256725673,200.0,6.0243,98.5489,98.0857,10.141014101410143,143.27432743274326,6161.453590475767,8511.999451986654,0.723855026686793
35.3519,21.182118211821184,32.24322432243225,46.804680468046804,200.0,6.4974,99.3959,550.0775,11.061106110611064,153.1953195319532,38292.42373969336,48591.5960930212,0.7880462223629854
38.6355,26.482648264826484,36.04360436043604,49.984998499849986,200.0,5.5385,99.3287,613.2319,9.560956095609559,150.01500150015002,42334.97381318281,53048.568063713676,0.7980417824348555
37.5322,24.102410241024103,34.583458345834586,49.28492849284929,200.0,6.1562,99.5675,645.1349,10.481048104810483,150.7150715071507,44519.14931309287,56503.41556170814,0.7879019147873089
30.0908,16.001600160016004,27.042704270427045,41.484148414841485,200.0,6.4759,101.8868,764.8551,11.041104110411041,158.51585158515852,54979.255920729825,69248.13013013275,0.7939457111320044
37.6804,24.522452245224525,34.8034803480348,48.84488448844885,200.0,5.9716,100.665,561.3116,10.281028102810279,151.15511551155114,39306.05452605972,49323.01122818242,0.796911087691273
39.0904,26.102610261026104,36.023602360236026,52.44524452445245,200.0,5.7797,98.0678,240.0804,9.920992099209922,147.55475547554755,15983.204470530587,20676.9639870547,0.7729957106148295
34.847,21.042104210421044,31.843184318431845,46.24462446244625,200.0,6.3621,100.4807,782.8737,10.801080108010801,153.75537553755376,55024.34864543811,69514.81517501232,0.7915485138945902
33.4426,19.401940194019403,30.363036303630363,44.52445244524453,200.0,6.4338,99.2646,687.3218,10.96109610961096,155.47554755475548,48277.456414144894,60865.547472389284,0.7931819957102204
36.6486,22.562256225622562,33.5033503350335,48.74487448744875,200.0,6.4536,98.9532,465.3745,10.94109410941094,151.25512551255125,31914.534638826575,40868.119713848624,0.7809151696306688
34.8721,21.242124212421242,31.803180318031806,48.52485248524853,200.0,6.0317,99.5546,272.536,10.561056105610565,151.47514751475148,18489.434638908133,23977.592055086614,0.7711130707549835
34.813,20.802080208020804,31.723172317231725,48.90489048904891,200.0,6.0791,98.7132,178.5788,10.921092109210921,151.0951095109511,11975.78390545505,15652.703206854523,0.7650936548909135
34.1109,21.242124212421242,31.183118311831183,48.384838483848384,200.0,5.6887,101.4734,205.3073,9.940994099409941,151.6151615161516,14037.182637175312,18200.05749755824,0.7712713346679576
35.3769,21.022102210221025,32.10321032103211,50.08500850085009,200.0,6.3528,100.9231,218.0148,11.081108110811083,149.91499149914992,14712.923460784494,19391.251471263753,0.7587402743235959
30.1412,17.581758175817583,27.262726272627265,42.50425042504251,200.0,5.7429,100.2699,375.313,9.680968096809682,157.4957495749575,26351.1131848526,33340.1986178888,0.7903706119709143
38.9519,25.662566256625663,36.003600360036,50.885088508850885,200.0,6.0615,101.8176,547.1392,10.34103410341034,149.11491149114912,38092.68399576533,48292.466859331755,0.7887914300738298
38.1705,25.702570257025705,35.443544354435446,49.48494849484949,200.0,5.7579,101.6175,738.4258,9.74097409740974,150.5150515051505,51867.2305741923,64940.80846602938,0.7986847068792516
30.6055,16.501650165016503,27.582758275827583,49.42494249424943,200.0,5.8827,98.3523,98.0864,11.08110811081108,150.57505750575058,6243.507298699441,8634.818314406803,0.7230618029660719
33.8812,20.042004200420042,30.823082308230823,45.78457845784579,200.0,6.2136,100.5021,419.8958,10.781078107810782,154.21542154215422,29405.667614196176,37304.38748435764,0.7882629791610026
36.4086,22.902290229022903,33.24332433243325,50.96509650965097,200.0,5.9308,99.0679,196.1501,10.341034103410344,149.03490349034902,13049.70277348869,17129.919569932266,0.7618075916943894
37.6228,23.262326232623263,34.36343634363436,53.06530653065307,200.0,6.4901,100.3313,167.4362,11.1011101110111,146.93469346934694,11072.805432754894,14794.568383060416,0.7484372065516361
33.6171,19.261926192619264,30.523052305230525,47.344734473447346,200.0,6.294,99.9476,237.9747,11.261126112611262,152.65526552655265,16231.345074278699,21118.631844866224,0.7685793849483868
36.2163,21.202120212021203,32.603260326032604,55.52555255525553,200.0,6.487,98.2046,92.9518,11.401140114011401,144.47444744474447,5776.705601798189,8146.224305882528,0.7091267542960645
32.9611,18.941894189418942,29.962996299629964,44.54445444544454,200.0,6.393,101.027,748.6348,11.021102110211022,155.45554555455544,52963.53286828109,66985.11830424049,0.7906761114868142
36.2151,23.982398239823983,33.54335433543355,47.824782478247826,200.0,5.6574,99.4146,633.4639,9.560956095609566,152.1752175217522,43909.62225449522,55204.89367460019,0.7953936568253561
34.8622,21.982198219821985,32.06320632063206,49.924992499249925,200.0,5.6712,100.3818,168.0423,10.081008100810077,150.07500750075008,11262.462805730915,14779.66576395412,0.7620241882058487
33.7113,17.841784178417843,29.662966296629666,55.70557055705571,200.0,6.4765,99.1453,74.1216,11.821182118211823,144.2944294429443,4513.286112915374,6568.436200418896,0.6871172947721627
32.163,18.24182418241824,29.042904290429043,44.464446444644466,200.0,6.3005,99.8373,388.5528,10.801080108010801,155.53555355535553,27073.19400046063,34555.163280308814,0.7834775307193594
39.4804,25.902590259025903,36.543654365436545,50.885088508850885,200.0,6.2111,99.4743,702.6694,10.641064106410642,149.11491149114912,48405.79702916134,61289.50659987312,0.7897893083913575
35.4127,21.202120212021203,32.16321632163216,49.164916491649166,200.0,6.4387,100.8431,203.024,10.96109610961096,150.83508350835083,13860.638505111981,18064.259749051413,0.7672962356423063
32.407,18.661866186618663,29.402940294029403,43.80438043804381,200.0,6.3269,100.8924,632.1325,10.74107410741074,156.1956195619562,44851.59453651948,56527.295977470596,0.7934502042056892
35.3932,21.962196219621962,32.00320032003201,52.82528252825283,200.0,6.0158,101.1612,108.45,10.041004100410046,147.17471747174716,7078.727509249265,9612.085137038715,0.7364403673426132
30.4922,15.561556155615563,27.262726272627265,48.12481248124813,200.0,6.0212,99.0836,110.6752,11.701170117011703,151.8751875187519,7196.493126504842,9808.425409201986,0.7337052407773114
30.1743,18.101810181018102,27.542754275427544,41.84418441844185,200.0,5.5696,101.3887,676.9237,9.440944094409442,158.15581558155816,48315.00588903796,60359.52978157291,0.8004536493885674
36.2583,23.502350235023503,33.48334833483349,47.424742474247424,200.0,5.8267,99.5706,586.6498,9.980998099809984,152.5752575257526,40935.909797338994,51294.40968915644,0.7980579179175695
36.1186,22.622262226222624,32.803280328032805,49.924992499249925,200.0,6.074,98.9973,200.7551,10.181018101810182,150.07500750075008,13490.866476039044,17566.08084421266,0.7680066257057993
39.6053,27.302730273027304,36.86368636863686,51.52515251525153,200.0,5.5463,98.5388,407.1415,9.560956095609559,148.47484748474847,27669.81304058189,34995.85899727817,0.790659633265008
36.0531,23.342334233423344,33.283328332833285,47.424742474247424,200.0,5.8424,100.7175,704.4442,9.940994099409941,152.5752575257526,49442.913091349285,62023.51440509453,0.7971640040972607
30.7762,16.861686168616863,27.762776277627765,42.60426042604261,200.0,6.3325,98.6555,569.8382,10.901090109010902,157.3957395739574,39751.85530970802,50499.53011815774,0.7871727759980631
32.5981,19.361936193619364,29.722972297229724,44.38443844384439,200.0,6.1188,100.5343,631.2447,10.36103610361036,155.61556155615563,44436.34899170581,56149.945361874765,0.7913872169478127
31.6142,18.321832183218323,28.702870287028706,43.304330433043305,200.0,6.0635,101.9124,716.8379,10.381038103810383,156.6956695669567,51139.03325149063,64349.26743803501,0.7947104184322666
36.0308,22.602260226022604,33.10331033103311,47.484748474847486,200.0,6.169,99.5742,673.8267,10.501050105010503,152.5152515251525,46876.853630277,59223.6226609996,0.7915229012349275
34.6656,21.522152215221524,31.783178317831783,45.78457845784579,200.0,6.0791,99.1596,668.9066,10.26102610261026,154.21542154215422,46773.58982689654,58749.71128962998,0.7961501222756244
38.6545,24.882488248824885,35.56355635563556,49.84498449844985,200.0,6.294,101.5302,631.4113,10.681068106810677,150.15501550155017,44332.58968566469,55860.96249939438,0.7936238063593215
36.6498,23.342334233423344,33.803380338033804,47.824782478247826,200.0,6.0626,98.9025,629.0716,10.46104610461046,152.1752175217522,43640.21893814488,54932.76159724522,0.7944297295319913
32.0354,18.36183618361836,29.042904290429043,43.48434843484349,200.0,6.2833,98.0797,497.1546,10.681068106810681,156.5156515651565,34591.67302778488,43763.32513735716,0.7904260683852106
