t0,t1,t2,t3,t4,s_r,s_f,N,d_r,d_f,total_integral,tail_integral,fom
32.3538,18.681868186818683,29.362936293629364,37.883788378837885,152.4952495249525,6.261,50.3446,700.0866,10.681068106810681,114.6114611461146,28337.912723501326,37338.67106423166,0.7589427238787683
68.821,56.165616561656165,66.00660066006601,74.46744674467448,188.85888588858887,5.7973,49.9564,633.6749,9.840984098409848,114.3914391439144,25409.30762291469,33263.006137701916,0.7638908978258143
42.6902,29.162916291629163,39.803980398039805,47.964796479647966,159.0959095909591,6.1101,48.4597,581.7228,10.641064106410642,111.13111311131115,22730.900028112417,29973.383428879177,0.7583695074681269
105.436,91.76917691769178,102.3902390239024,111.09110911091109,200.0,6.2522,49.581,537.7375,10.621062106210616,88.90889088908891,19828.736527807385,26794.938372637458,0.7400179934004311
82.3736,69.4869486948695,79.58795879587959,88.40884088408842,200.0,5.888,51.3907,595.6063,10.10101010101009,111.59115911591158,24113.899440165897,31774.954213865156,0.7588964338977294
74.5445,62.00620062006201,71.54715471547155,80.60806080608062,200.0,5.7235,49.5167,295.8419,9.540954095409539,119.39193919391938,11798.002200542385,15548.118793788688,0.758805766602167
47.8869,34.243424342434245,44.704470447044706,54.925492549254926,181.23812381238125,6.1961,51.6216,287.6297,10.46104610461046,126.31263126312632,11833.912159883395,15898.296334590075,0.7443509613125174
73.6179,61.206120612061206,70.84708470847085,79.1079107910791,191.95919591959196,5.6691,48.2194,534.4422,9.64096409640964,112.85128512851286,20782.806739344967,27244.843949856924,0.7628161415640667
50.6521,36.66366636663667,47.624762476247625,56.365636563656366,172.81728172817282,6.4156,50.906,728.5551,10.961096109610956,116.45164516451645,29785.15936022893,39409.59309019072,0.7557844936907666
31.7375,17.821782178217823,28.662866286628663,37.42374237423743,149.17491749174917,6.4011,48.6427,680.1911,10.84108410841084,111.75117511751174,26477.160525073847,35422.16240405686,0.7474744264071651
41.3874,27.722772277227723,38.28382838283829,47.54475447544755,168.63686368636866,6.1816,51.4299,414.1283,10.561056105610565,121.09210921092111,17101.441384982114,22626.25283137002,0.7558229598350431
107.0148,94.08940894089409,104.23042304230424,112.65126512651266,200.0,5.9766,48.7818,742.3391,10.14101410141015,87.34873487348734,26878.05894419085,36220.11151627019,0.7420755436414694
96.1206,82.20822082208221,93.10931093109312,101.79017901790179,200.0,6.384,50.8128,718.1028,10.901090109010909,98.20982098209821,27912.415841102174,37342.07189582367,0.7474790343442056
76.9782,62.72627262726273,73.82738273827383,82.86828682868287,199.25992599259928,6.3478,48.3812,335.6707,11.101110111011096,116.39163916391641,13081.674086695404,17547.602385856666,0.745496381730145
113.5621,100.33003300330033,110.25102510251025,124.3924392439244,200.0,5.7675,50.3883,71.4795,9.920992099209926,75.6075607560756,2257.227906227724,3459.2693755327714,0.6525157948649437
81.3367,68.06680668066807,78.30783078307832,87.34873487348736,200.0,6.0242,51.2064,424.3095,10.24102410241025,112.65126512651264,17179.5720744831,22701.648031309218,0.7567544017416583
54.9412,42.004200420042004,52.14521452145215,60.30603060306031,170.997099709971,5.8903,48.3388,621.8709,10.141014101410143,110.69106910691069,24178.11797559385,31797.915176266426,0.7603680254370923
108.7453,94.66946694669467,105.5905590559056,115.67156715671568,200.0,6.3959,51.0948,258.0709,10.921092109210932,84.32843284328432,9304.070673326194,12986.981971798608,0.7164151527683721
81.2561,68.64686468646865,78.4878487848785,87.36873687368737,200.0,5.7113,51.9501,629.1569,9.840984098409848,112.63126312631263,25732.559128349603,33741.50049718361,0.7626382570181635
105.2756,91.84918491849186,102.35023502350235,111.33113311331134,200.0,6.0956,50.6815,448.1255,10.501050105010492,88.66886688668866,16650.01956497946,22536.79746296292,0.7387926164905275
79.7181,66.24662466246625,76.76767676767678,85.26852685268527,197.87978797879788,6.1326,48.912,592.1616,10.52105210521053,112.61126112611261,23270.342337300386,30801.231680798537,0.7555003831813355
